Person,YouthSubculture,FashionStyle,MusicGenre,Slang,Ritual,Activity,Event,Value,ExpressionMedia,MainstreamMedia,Location,HistoricalPeriod,HistoricalPeriodContext,ExternalPerspective,InternalPerspective,PerspectiveInfluence,PerspectiveChange,Stereotype,SubGroups,DominantCulture,StereotypeTrigger
Person_1,Goths,"Dark, Victorian",Gothic Rock,Goth,Goth Night,Listening to Music,Goth Festival,Individualism,Goth Magazines,"Documentaries, News Coverage",London,1980s,Rise of goth subculture in post-punk era,Seen as dark and mysterious,Emphasize individual expression and aesthetics,Media portrayals of dark aesthetics,Shift from misunderstood to celebrated for its style,Depressed and brooding,,Post-punk and alternative fashion,Media portrayal of goths as morose and detached
Person_2,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zines,"Music Documentaries, News Articles",New York,1970s,Origins in political and social rebellion,Seen as rebellious and anti-establishment,Pride in challenging norms,Cultural rebellion and anti-authoritarianism,From fringe to influential in mainstream fashion,Troublemakers and anti-social,,DIY ethic and punk music,Media portrayal of punk riots and anarchism
Person_3,Skaters,"Casual, Baggy","Punk Rock, Hip-Hop",Skate,Skate Sessions,Skateboarding,Skate Competitions,Freedom and creativity,"Skateboarding Magazines, Videos","Sports Channels, Lifestyle TV Shows",California,1990s,Growth of extreme sports and skate culture,Seen as laid-back and rebellious,Focus on skill and personal style,Influence of extreme sports culture,From niche hobby to mainstream sport,Risk-taking and anti-establishment,,Extreme sports and urban youth culture,Media portrayal of skater lifestyle as rebellious
Person_4,Emo,"Dark, Skinny Jeans",Emo,Emo,Emo Nights,Listening to Emo Music,Emo Concerts,Emotional expression,"Emo Blogs, Music Videos","Music Channels, Magazines",Chicago,2000s,Emergence from post-hardcore and punk influences,Seen as overly emotional and introverted,Focus on expressing deep emotions,Music and personal experiences,Evolving from niche to influential in alternative music,Melancholic and introverted,,Alternative rock and emotional music,Media portrayal of emo culture as melodramatic
Person_5,Ravers,"Bright, Neon",Electronic Dance Music,Rave,Rave Parties,Dancing,Rave Festivals,Euphoria and community,"Rave Videos, EDM Blogs","Music Channels, Event Coverage",Berlin,1990s,Rise of electronic dance music and rave culture,Seen as hedonistic and wild,Emphasis on music and dance experience,Electronic music and drug culture,From underground to mainstream popularity,Party-goers and drug users,,Electronic dance music and festival culture,Media portrayal of rave culture and drug use
Person_6,Hipsters,"Vintage, Indie, Artisan","Indie Rock, Alternative","Hipster, Indie","Coffee Shop Hangouts, Art Shows","Exploring Vintage Shops, Indie Music","Art Exhibits, Indie Music Festivals","Authenticity, Creativity, Individualism","Indie Magazines, Blogs","Lifestyle Magazines, Documentaries",Brooklyn,2000s,Rise of indie culture and alternative lifestyle,Seen as trend-followers and elitist,Focus on being unique and non-mainstream,Urban culture and social media,From niche to influential in fashion and culture,Pretentious and overly concerned with trends,,Indie music and alternative fashion,Media portrayal of hipsters as elitist trendsetters
Person_7,Rockers,"Leather, Denim",Rock,Rocker,Rock Concerts,Playing Guitar,Rock Festivals,"Passion, Rebellion","Rock Magazines, Albums","Music Channels, Biographies",Los Angeles,1960s-1980s,Era of classic rock and roll and its evolution,Seen as rebellious and energetic,Emphasis on musical talent and passion,Rock music history and legends,From rebellious youth culture to mainstream icons,Loud and rebellious,,Classic rock and roll,Media portrayal of rockers as wild and unruly
Person_8,Gamers,"Casual, Gaming Merchandise",Varies,Gamer,Gaming Sessions,Playing Video Games,Gaming Conventions,Skill and immersion,"Gaming Magazines, Online Forums","Gaming News, Reviews",Global,2000s-present,Growth of online gaming and eSports,Seen as socially isolated,Focus on skill and game strategy,Gaming culture and technology,From niche hobby to mainstream entertainment,Introverted and obsessive,,Video gaming and technology,Media portrayal of gamers as antisocial
Person_9,Mods,"Sharp Suits, Scooter Culture","Soul, R&B",Mod,Scooter Rallies,Riding Scooters,Mod Rallies,Style and sophistication,"Mod Magazines, Music","Documentaries, News Features",London,1960s,Rise of the mod culture post-WWII,Seen as stylish and sophisticated,Focus on appearance and music taste,British pop culture and music,From youth subculture to retro revival,Stylish but elitist,,British pop culture and fashion,Media portrayal of mods as elitist fashionistas
Person_10,Hip-Hop,"Streetwear, Baggy Clothes",Hip-Hop,Hip-Hop,Freestyle Battles,"Breakdancing, Rapping",Hip-Hop Festivals,Creativity and self-expression,"Hip-Hop Videos, Blogs","Music Channels, Reality Shows",New York,1970s-present,Evolution from street culture to global phenomenon,Seen as urban and expressive,Focus on lyrical skill and dance,Urban environment and social issues,From street culture to global influence,Street-smart and aggressive,,Urban culture and music,Media portrayal of hip-hop culture as violent and aggressive
Person_11,Goths,"Dark, Victorian",Gothic Rock,Goth,Goth Night,Listening to Music,Goth Festival,Individualism,Goth Magazines,"Documentaries, News Coverage",London,1980s,Rise of goth subculture in post-punk era,Seen as dark and mysterious,Emphasize individual expression and aesthetics,Media portrayals of dark aesthetics,Shift from misunderstood to celebrated for its style,Depressed and brooding,,Post-punk and alternative fashion,Media portrayal of goths as morose and detached
Person_12,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,"Catchiness, Youth Appeal",Punk Zines,"Music Documentaries, News Articles",New York,1970s,Focus on pop punk's commercial success in the 90s,Seen as rebellious and anti-establishment,Pride in challenging norms,Cultural rebellion and anti-authoritarianism,From fringe to influential in mainstream fashion,Troublemakers and anti-social,Pop Punks,Melodic punk and mainstream crossover,Media portrayal of pop punk as mainstream and commercial
