Person,YouthSubculture,FashionStyle,MusicGenre,Slang,Ritual,Activity,Event,Value,Media,Location,HistoricalPeriod
Person_1,Mods,Mod Suits,Mod Revival,Mods,Mod Rally,Participating in Rallies,Mod Week,Tradition,Mod TV Shows,Manchester,1960s
Person_2,Gamers,Graphic Tees,Electronic,GG,Gaming Marathon,Gaming,Gaming Convention,Innovation,Gaming Streams,Chicago,2000s
Person_3,Gamers,Graphic Tees,Electronic,GG,Gaming Marathon,Gaming,Gaming Convention,Innovation,Gaming Streams,Chicago,2000s
Person_4,Skaters,"Casual, Streetwear",Skate Punk,Skater,Skateboarding,Skateboarding,Skate Park Opening,Freedom,Skater Blog,Los Angeles,1990s
Person_5,Goths,"Dark, Victorian",Gothic Rock,Goth,Goth Night,Listening to Music,Goth Festival,Individualism,Goth Magazine,London,1980s
Person_6,Skaters,"Casual, Streetwear",Skate Punk,Skater,Skateboarding,Skateboarding,Skate Park Opening,Freedom,Skater Blog,Los Angeles,1990s
Person_7,Skaters,"Casual, Streetwear",Skate Punk,Skater,Skateboarding,Skateboarding,Skate Park Opening,Freedom,Skater Blog,Los Angeles,1990s
Person_8,Skaters,"Casual, Streetwear",Skate Punk,Skater,Skateboarding,Skateboarding,Skate Park Opening,Freedom,Skater Blog,Los Angeles,1990s
Person_9,Hip-Hop Culture,"Baggy, Urban",Hip-Hop,Dope,Hip-Hop Battle,Socializing,Hip-Hop Summit,Creativity,Hip-Hop Documentaries,Berlin,1980s
Person_10,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_11,Hip-Hop Culture,"Baggy, Urban",Hip-Hop,Dope,Hip-Hop Battle,Socializing,Hip-Hop Summit,Creativity,Hip-Hop Documentaries,Berlin,1980s
Person_12,Mods,Mod Suits,Mod Revival,Mods,Mod Rally,Participating in Rallies,Mod Week,Tradition,Mod TV Shows,Manchester,1960s
Person_13,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
