Person,YouthSubculture,FashionStyle,MusicGenre,Slang,Ritual,Activity,Event,Value,Media,Location,HistoricalPeriod
Person_1,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_2,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_3,Gamers,Graphic Tees,Electronic,GG,Gaming Marathon,Gaming,Gaming Convention,Innovation,Gaming Streams,Chicago,2000s
Person_4,Hip-Hop Culture,"Baggy, Urban",Hip-Hop,Dope,Hip-Hop Battle,Socializing,Hip-Hop Summit,Creativity,Hip-Hop Documentaries,Berlin,1980s
Person_5,Gamers,Graphic Tees,Electronic,GG,Gaming Marathon,Gaming,Gaming Convention,Innovation,Gaming Streams,Chicago,2000s
Person_6,Skaters,"Casual, Streetwear",Skate Punk,Skater,Skateboarding,Skateboarding,Skate Park Opening,Freedom,Skater Blog,Los Angeles,1990s
Person_7,Hipsters,"Vintage, Indie",Indie Rock,Hipster,Vintage Fair,Fashion Shows,Hipster Art Walk,Authenticity,Hipster Podcasts,San Francisco,2010s
Person_8,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
Person_9,Gamers,Graphic Tees,Electronic,GG,Gaming Marathon,Gaming,Gaming Convention,Innovation,Gaming Streams,Chicago,2000s
Person_10,Emo,"Black, Minimalist",Emo Rock,Emo,Emo Night,Listening to Music,Emo Festival,Emotion,Emo Vlogs,Tokyo,2000s
Person_11,Hipsters,"Vintage, Indie",Indie Rock,Hipster,Vintage Fair,Fashion Shows,Hipster Art Walk,Authenticity,Hipster Podcasts,San Francisco,2010s
Person_12,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_13,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
Person_14,Gamers,Graphic Tees,Electronic,GG,Gaming Marathon,Gaming,Gaming Convention,Innovation,Gaming Streams,Chicago,2000s
Person_15,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
