Person,YouthSubculture,FashionStyle,MusicGenre,Slang,Ritual,Activity,Event,Value,Media,Location,HistoricalPeriod
Person_1,Emo,"Black, Minimalist",Emo Rock,Emo,Emo Night,Listening to Music,Emo Festival,Emotion,Emo Vlogs,Tokyo,2000s
Person_2,Goths,"Dark, Victorian",Gothic Rock,Goth,Goth Night,Listening to Music,Goth Festival,Individualism,Goth Magazine,London,1980s
Person_3,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_4,Hip-Hop Culture,"Baggy, Urban",Hip-Hop,Dope,Hip-Hop Battle,Socializing,Hip-Hop Summit,Creativity,Hip-Hop Documentaries,Berlin,1980s
Person_5,Goths,"Dark, Victorian",Gothic Rock,Goth,Goth Night,Listening to Music,Goth Festival,Individualism,Goth Magazine,London,1980s
Person_6,Mods,Mod Suits,Mod Revival,Mods,Mod Rally,Participating in Rallies,Mod Week,Tradition,Mod TV Shows,Manchester,1960s
Person_7,Mods,Mod Suits,Mod Revival,Mods,Mod Rally,Participating in Rallies,Mod Week,Tradition,Mod TV Shows,Manchester,1960s
Person_8,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
Person_9,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_10,Hipsters,"Vintage, Indie",Indie Rock,Hipster,Vintage Fair,Fashion Shows,Hipster Art Walk,Authenticity,Hipster Podcasts,San Francisco,2010s
Person_11,Hipsters,"Vintage, Indie",Indie Rock,Hipster,Vintage Fair,Fashion Shows,Hipster Art Walk,Authenticity,Hipster Podcasts,San Francisco,2010s
Person_12,Skaters,"Casual, Streetwear",Skate Punk,Skater,Skateboarding,Skateboarding,Skate Park Opening,Freedom,Skater Blog,Los Angeles,1990s
Person_13,Goths,"Dark, Victorian",Gothic Rock,Goth,Goth Night,Listening to Music,Goth Festival,Individualism,Goth Magazine,London,1980s
Person_14,Skaters,"Casual, Streetwear",Skate Punk,Skater,Skateboarding,Skateboarding,Skate Park Opening,Freedom,Skater Blog,Los Angeles,1990s
Person_15,Gamers,Graphic Tees,Electronic,GG,Gaming Marathon,Gaming,Gaming Convention,Innovation,Gaming Streams,Chicago,2000s
Person_16,Hip-Hop Culture,"Baggy, Urban",Hip-Hop,Dope,Hip-Hop Battle,Socializing,Hip-Hop Summit,Creativity,Hip-Hop Documentaries,Berlin,1980s
Person_17,Skaters,"Casual, Streetwear",Skate Punk,Skater,Skateboarding,Skateboarding,Skate Park Opening,Freedom,Skater Blog,Los Angeles,1990s
Person_18,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
Person_19,Emo,"Black, Minimalist",Emo Rock,Emo,Emo Night,Listening to Music,Emo Festival,Emotion,Emo Vlogs,Tokyo,2000s
Person_20,Goths,"Dark, Victorian",Gothic Rock,Goth,Goth Night,Listening to Music,Goth Festival,Individualism,Goth Magazine,London,1980s
Person_21,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_22,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_23,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
Person_24,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_25,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
Person_26,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
Person_27,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_28,Skaters,"Casual, Streetwear",Skate Punk,Skater,Skateboarding,Skateboarding,Skate Park Opening,Freedom,Skater Blog,Los Angeles,1990s
Person_29,Rockers,Classic Rock,Classic Rock,Rock On,Participating in Rallies,Attending Concerts,Rock Parade,Self-Expression,Rock Biographies,Austin,1970s
