Person,YouthSubculture,FashionStyle,MusicGenre,Slang,Ritual,Activity,Event,Value,Media,Location,HistoricalPeriod
Person_1,Hip-Hop Culture,"Baggy, Urban",Hip-Hop,Dope,Hip-Hop Battle,Socializing,Hip-Hop Summit,Creativity,Hip-Hop Documentaries,Berlin,1980s
Person_2,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_3,Punks,"Ripped, Leather",Punk Rock,Punk,Punk Concert,Attending Concerts,Punk Weekender,Rebellion,Punk Zine,New York,1970s
Person_4,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
Person_5,Hip-Hop Culture,"Baggy, Urban",Hip-Hop,Dope,Hip-Hop Battle,Socializing,Hip-Hop Summit,Creativity,Hip-Hop Documentaries,Berlin,1980s
Person_6,Hip-Hop Culture,"Baggy, Urban",Hip-Hop,Dope,Hip-Hop Battle,Socializing,Hip-Hop Summit,Creativity,Hip-Hop Documentaries,Berlin,1980s
Person_7,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
Person_8,Gamers,Graphic Tees,Electronic,GG,Gaming Marathon,Gaming,Gaming Convention,Innovation,Gaming Streams,Chicago,2000s
Person_9,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
Person_10,Mods,Mod Suits,Mod Revival,Mods,Mod Rally,Participating in Rallies,Mod Week,Tradition,Mod TV Shows,Manchester,1960s
Person_11,Mods,Mod Suits,Mod Revival,Mods,Mod Rally,Participating in Rallies,Mod Week,Tradition,Mod TV Shows,Manchester,1960s
Person_12,Hipsters,"Vintage, Indie",Indie Rock,Hipster,Vintage Fair,Fashion Shows,Hipster Art Walk,Authenticity,Hipster Podcasts,San Francisco,2010s
Person_13,Mods,Mod Suits,Mod Revival,Mods,Mod Rally,Participating in Rallies,Mod Week,Tradition,Mod TV Shows,Manchester,1960s
Person_14,Emo,"Black, Minimalist",Emo Rock,Emo,Emo Night,Listening to Music,Emo Festival,Emotion,Emo Vlogs,Tokyo,2000s
Person_15,Gamers,Graphic Tees,Electronic,GG,Gaming Marathon,Gaming,Gaming Convention,Innovation,Gaming Streams,Chicago,2000s
Person_16,Ravers,"Bright, Neon",Electronic,Rave On,Rave Party,Dancing,Rave Extravaganza,Eclecticism,Rave Radio,Paris,1990s
