Participant,NotParticipant,Generation,YouthSubculture,Viewpoint,Attitude,FashionStyle,MusicGenre,Ritual,MoralValue,Location,HistoricalPeriod,Influence,Stereotype,PerspectiveShift
Person_1,,"The Silent Generation",Hippies,InternalViewpoint,PositiveAttitude,"Colorful and eclectic clothing, including tie-dye shirts, bell-bottoms, and peace symbols. Accessories often include flower crowns, beads, and sandals.","Psychedelic Rock, Folk, Classic Rock","Participating in music festivals, peace protests, communal living, engaging in spiritual practices","Peace, Love, Harmony, Environmentalism, Anti-materialism","San Francisco, New York",1960s,"Social and political movements of the 1960s, including reaction against mainstream consumer culture and political climate","Idealistic, free-spirited, anti-establishment",From radical counterculture to a more widely accepted ethos of peace and environmentalism
Person_2,,"Baby Boomers",Mods,InternalViewpoint,PositiveAttitude,"Sharp Suits, Scooter Culture","Soul, R&B","Rallies, widing scooters",Style and sophistication,London,1960s,"Post-WWII British pop culture and music","Stylish, superficial, elitist",From youth subculture to retro revival
Person_3,,"Generation X",Skinheads,InternalViewpoint,PositiveAttitude,"Close-cropped or shaven heads, practical and durable clothing such as Dr. Martens boots, braces, high-rise straight-leg jeans","Oi!, Ska, Reggae","Attending music events, dancehalls, engaging in street-level solidarity","Working-class pride, Solidarity",London,Late 1960s,"Social and economic conditions of the late 1960s, including emergence from working-class and Mod influences","Tough, working-class, politically charged",From working-class solidarity to broader associations
Person_4,,"Millennials",Hip-Hop,InternalViewpoint,PositiveAttitude,"Streetwear, Urban, Baggy Clothes",Hip-Hop,"Breakdancing, Rapping, Freestyle Battles",Creativity and self-expression,New York,1970s-present,"Urban environment and social issues","Street-smart and aggressive",From street culture to global influence
Person_5,,"Baby Boomers",Punks,InternalViewpoint,PositiveAttitude,"Ripped, Leather",Punk Rock,"Attending concerts, protesting, DIY activities, riots","Rebellion, Activism, DIY ethic, Anarchism",New York,1970s,"Cultural rebellion and anti-authoritarianism, including political and social rebellion","Troublemakers, violent, anti-social",From fringe to influential in mainstream fashion
Person_6,,"Generation Z",vRockers,InternalViewpoint,PositiveAttitude,"Leather, Denim",Rock,"Rock Concerts, Playing instruments","Passion, Rebellion",Los Angeles,1960s-1980s,"Rock music history and legends, including the evolution of classic rock and roll","Loud, wild, rebellious",From rebellious youth culture to mainstream icons
Person_7,,"The Silent Generation",Metalheads,InternalViewpoint,PositiveAttitude,"Leather, Denim",Heavy Metal,"Metal Concerts, Playing instruments",Rebellion,"USA, UK",1970s-1980s,"Rock music history and legends, including the rise of heavy metal in the 70s and 80s","Extreme, aggressive, unruly, extravagant",From rebellious youth culture to mainstream icons
Person_8,,"Generation Alpha",Goths,InternalViewpoint,PositiveAttitude,"Black clothing, Dark make-up, Victorian","Gothic Rock, Post-Punk","Attending concerts, Alternative nightlife",Individualism,London,1980s,"Post-punk era, media portrayals of dark aesthetics","Depressed, morose, detached, brooding",Shift from misunderstood to celebrated for its style
Person_9,,"Generation Z",Skaters,InternalViewpoint,PositiveAttitude,"Casual, Baggy","Punk Rock, Hip-Hop","Skateboarding, Skate skills developing","Freedom, community-oriented, creativity, athletics",California,1990s,"Influence of extreme sports culture, including the growth of skate culture","Risk-taking, troublemakers, anti-establishment",From niche hobby to mainstream sport
Person_10,,"Millennials",Emo,InternalViewpoint,PositiveAttitude,"Dark, Skinny Jeans","Emo, Pop-Punk, Melodic Hardcore","Alt-music events, Attending concerts",Emotional expression,USA,1990s-2000s,"Music and personal experiences, including emergence from post-hardcore and punk influences","Melancholic, introverted",Evolving from niche to influential in alternative music
Person_11,,"Generation Alpha",Screamo,InternalViewpoint,PositiveAttitude,"Dark, Skinny Jeans","Emo, Pop-Punk, Melodic Hardcore","Alt-music events, Attending concerts",Emotional expression,USA,2000s,"Music and personal experiences, including screamo's rise in the early 2000s","Aggressive, introverted",Evolving from niche to influential in alternative music
Person_12,,"Millennials",Ravers,InternalViewpoint,PositiveAttitude,"Bright, Neon","Electronic Dance Music, Techno","Rave Parties, Dancing, attending festivals","Escapism, Euphoria, community-oriented",Berlin,1990s,"Electronic music and drug culture, including the rise of electronic dance music and rave culture","Party-goers, drug users",From underground to mainstream popularity
Person_13,,"Generation X",Gamers,InternalViewpoint,PositiveAttitude,"Casual, Gaming Merchandise",Varies,"Playing video games, gaming sessions, attending gaming or technology conventions","Competition, immersion, relaxation, fun",Global,2000s-present,"Gaming culture and technology, growth of online gaming and eSports","Introverted, obsessive, anti-social",From niche hobby to mainstream entertainment
Person_14,,"Generation Z",Hipsters,InternalViewpoint,PositiveAttitude,"Vintage, Indie, Artisan, Retro aesthetic","Indie Rock, Alternative","Coffee Shop Hangouts, Art Shows, Exploring Vintage Shops","Authenticity, Creativity, Individualism, Nostalgia",Brooklyn,2000s,"Urban culture and social media, including the rise of indie culture and alternative lifestyle","Pretentious and overly concerned with trends, superficiality",From niche to influential in fashion and culture
Person_15,,"Baby Boomers",Normcore,InternalViewpoint,PositiveAttitude,"Unremarkable, everyday clothing, often purposefully bland or nondescript","Varied, typically mainstream or non-specific",Everyday activities with a focus on blending in rather than standing out,"Embracing ordinary and anti-fashion aesthetics, rejecting trends and pretension",Global,Early 2010s,"Reaction to fashion industry trends, including a deliberate embrace of ordinary aesthetics","Unremarkable, bland, anti-fashion",From a niche reaction to a recognized cultural statement
Person_16,,"Generation X",Lumberjack,InternalViewpoint,PositiveAttitude,"Flannel shirts, rugged jeans, and boots","Varied, often related to folk or indie genres","Engaging in outdoor activities, displaying a rugged, artisanal lifestyle","Authenticity, masculinity, and a connection to nature",Global,2010s,"Urban-rural aesthetic blend, including a growing trend toward combining rugged and artisanal styles with mainstream fashion","Rugged, outdoorsy, artisanal",From niche trend to broader acceptance in lifestyle fashion
Person_17,,"Millennials",E-Boys/E-Girls,InternalViewpoint,PositiveAttitude,"Eclectic mix of 90s grunge, emo, and alternative fashion; dyed hair, piercings, dark clothing","Lo-fi, Emo Rap, Indie Pop","Socializing and creating content on platforms like TikTok, Instagram, and YouTube","Individuality, online identity, aesthetics",Global,Late 2010s,"Social media trends and internet culture, including the rise of internet-based subcultures and aesthetics","Fashion-forward, internet-obsessed",From internet subculture to a broader cultural influence
Person_18,,"Generation Z",K-Pop Stans,InternalViewpoint,PositiveAttitude,"Fashion inspired by K-Pop idols, including bold and colorful outfits, trendy accessories, and elaborate hairstyles",K-Pop (Korean Pop Music),"Attending concerts, participating in fan clubs, streaming music, engaging in fan activities online","Dedication to K-Pop artists, appreciation for the genre’s music and choreography, community engagement",Global,2010s-2020s,"K-Pop industry and global fan culture, including the rise of Korean pop music and international fan communities","Devoted, enthusiastic, sometimes excessive",From niche interest to significant global cultural phenomenon
Person_19,,"Generation Alpha",VSCO Girls,InternalViewpoint,PositiveAttitude,"Comfortable, casual clothing like oversized t-shirts, scrunchies, and Hydro Flask water bottles","Indie Pop, Lo-fi Beats","Sharing content on Instagram and TikTok, promoting eco-friendly products, engaging in casual, laid-back lifestyles","Environmentalism, minimalist aesthetic, self-care",Global,Late 2010s,"Social media trends and environmentalism, including the influence of the VSCO app and its aesthetic","Eco-friendly, casual, trendy",From social media trend to a broader lifestyle movement
Person_20,,"Generation X",Ravers,InternalViewpoint,PositiveAttitude,"Bright, Neon","Electronic Dance Music, Techno","Rave Parties, Dancing, attending festivals","Escapism, Euphoria, community-oriented",Berlin,1990s,"Electronic music and drug culture, including the rise of electronic dance music and rave culture","Party-goers, drug users",From underground to mainstream popularity
Person_21,,"Millennials",Cosplay Enthusiasts,InternalViewpoint,PositiveAttitude,"Costumes inspired by anime, comics, and video games","Anime, Video Game Music","Attending conventions, participating in cosplay events","Creativity, fandom, and craftsmanship",Global,2000s-present,"Growth of fan conventions and media influence","Dedicated, imaginative, sometimes overly obsessed",From niche hobby to mainstream entertainment
Person_22,,"Generation Z",Indie Kids,InternalViewpoint,PositiveAttitude,"Vintage clothing, thrift store finds","Indie Rock, Lo-fi Beats","Exploring local music scenes, attending indie music festivals","Independence, authenticity, and creative expression",Global,2010s-present,"Rise of DIY music and indie culture through social media","Quirky, alternative, often misunderstood",From niche subculture to mainstream influence
Person_23,,"Generation Alpha",Minimalists,InternalViewpoint,PositiveAttitude,"Simple, clean clothing with few accessories","Ambient, Minimal Techno","Promoting minimalism through social media, engaging in decluttering activities","Simplicity, intentional living, eco-consciousness",Global,2020s-present,"Influence of minimalism trends and social media advocacy","Simplistic, eco-friendly, intentional",From trend to broader lifestyle movement
Person_24,,"Generation X",Gothic Lolita,InternalViewpoint,PositiveAttitude,"Victorian-inspired dresses, lace, and parasols","Visual Kei, Gothic Rock","Attending themed events, crafting outfits","Elegance, sophistication, and a fascination with historical fashion",Tokyo,1990s-present,"Influence of Japanese fashion and subculture","Elaborate, niche, sometimes seen as eccentric",From niche fashion trend to global influence
Person_25,,"Millennials",Sneakerheads,InternalViewpoint,PositiveAttitude,"Collectible and limited-edition sneakers","Hip-Hop, Electronic","Attending sneaker conventions, participating in resale markets","Status, exclusivity, and passion for footwear","Global, 2010s-present","Rise of sneaker culture and the influence of fashion and streetwear","Obsessive, trend-conscious",From niche collector interest to mainstream trend
Person_26,,"Generation Z",Lofi Hip-Hop Fans,InternalViewpoint,PositiveAttitude,"Casual, relaxed clothing","Lo-fi Hip-Hop","Listening to music online, studying, relaxing","Relaxation, focus, and creativity",Global,2020s-present,"Growth of lo-fi music on streaming platforms and social media","Chilled, introspective",From niche genre to broad online culture
Person_27,,"Generation Alpha",Eco-Warriors,InternalViewpoint,PositiveAttitude,"Eco-friendly fashion, recycled materials","Indie Pop, Acoustic","Participating in environmental activism, supporting sustainable brands","Environmentalism, activism, and responsibility",Global,2020s-present,"Influence of climate change awareness and social media activism","Passionate, idealistic",From niche cause to mainstream movement
Person_28,,"Generation X",Surfers,InternalViewpoint,PositiveAttitude,"Beachwear, wetsuits","Surf Rock, Reggae","Surfing, beach parties","Relaxation, adventure, and a connection to nature",California,1980s-present,"Surf culture influence and beach lifestyle","Laid-back, adventurous",From niche sport to mainstream lifestyle
Person_29,,"Millennials",Tech Enthusiasts,InternalViewpoint,PositiveAttitude,"Tech-savvy attire, gadget accessories","Electronic, Ambient","Engaging in tech meetups, showcasing new technology","Innovation, curiosity, and early adoption",Global,2000s-present,"Growth of technology and digital culture","Geeky, forward-thinking",From niche interest to mainstream technology trend
Person_30,,"Generation Z",DIY Crafters,InternalViewpoint,PositiveAttitude,"Handmade clothing and accessories","Indie Folk, Acoustic","Participating in crafting events, promoting handmade goods","Creativity, self-sufficiency, and personal expression",Global,2020s-present,"Rise of DIY culture through social media platforms","Creative, resourceful",From niche hobby to popular trend
Person_31,,"Generation X",Renaissance Fair Enthusiasts,InternalViewpoint,PositiveAttitude,"Historical reenactment costumes, medieval attire","Folk Music, Medieval","Participating in renaissance fairs, historical reenactments","Historical appreciation, fantasy, and craftsmanship",Global,1990s-present,"Interest in historical reenactment and fantasy","Nostalgic, theatrical",From niche interest to broad cultural events
Person_32,,"Millennials",Vegetarians/Vegans,InternalViewpoint,PositiveAttitude,"Casual, practical clothing","Various, including acoustic and indie","Participating in food activism, supporting cruelty-free brands","Ethical eating, environmentalism",Global,2010s-present,"Rise of plant-based diets and animal rights advocacy","Health-conscious, ethical",From niche dietary choice to mainstream lifestyle movement
Person_33,,"Generation Z",TikTokers,InternalViewpoint,PositiveAttitude,"Trendy, varied styles","Pop, Viral Hits","Creating and sharing content on TikTok, engaging with trends","Creativity, trend-setting, and digital savvy",Global,2020s-present,"Influence of short-form video content and social media trends","Energetic, innovative",From emerging trend to dominant social media force
Person_34,,"Generation Alpha",Digital Nomads,InternalViewpoint,PositiveAttitude,"Casual, travel-friendly clothing","Chillout, Electronic","Traveling, working remotely, participating in digital communities","Freedom, flexibility, and global perspective",Global,2020s-present,"Growth of remote work and digital lifestyles","Adventurous, flexible",From niche career choice to widespread trend
Person_35,,"Generation X",Rockabilly,InternalViewpoint,PositiveAttitude,"Retro 1950s clothing, pompadour hairstyles","Rockabilly, Psychobilly","Attending rockabilly events, vintage car shows","Nostalgia, retro aesthetics, and cultural appreciation",USA,1990s-present,"Revival of 1950s American culture and music","Vintage, nostalgic",From niche interest to popular retro trend
Person_36,,"Millennials",Social Justice Activists,InternalViewpoint,PositiveAttitude,"Casual, activist clothing","Varied, including folk and hip-hop","Participating in protests, advocating for social change","Equality, justice, and activism",Global,2010s-present,"Rise of social justice movements and advocacy","Passionate, driven",From niche advocacy to broad societal impact
Person_37,,"Generation Z",Alternative Fashion Enthusiasts,InternalViewpoint,PositiveAttitude,"Eclectic, experimental fashion","Alternative, Indie","Exploring and promoting new fashion trends, attending fashion events","Individuality, creativity, and self-expression",Global,2020s-present,"Influence of alternative fashion on mainstream trends","Bold, experimental",From niche interest to influential fashion trend
Person_38,,"Generation Alpha",Retro Gamers,InternalViewpoint,PositiveAttitude,"Nostalgic gaming merchandise, retro styles","Chiptune, Classic Game Music","Playing and promoting classic video games","Nostalgia, gaming history",Global,2020s-present,"Revival of classic gaming and retro culture","Nostalgic, gaming-focused",From niche interest to mainstream gaming trend
Person_39,,"Generation Z",Freelancers,InternalViewpoint,PositiveAttitude,"Casual, versatile clothing","Varied, often lo-fi or electronic","Engaging in freelance work, participating in remote work communities","Flexibility, independence, and entrepreneurial spirit",Global,2020s-present,"Growth of the gig economy and freelance culture","Independent, flexible",From emerging trend to mainstream work style
Person_40,,"Millennials",Party Goers,InternalViewpoint,PositiveAttitude,"Festival fashion, including bohemian and eclectic styles","Electronic Dance Music, Indie Rock","Attending music festivals, camping, and engaging in festival culture","Community, euphoria, and cultural immersion",Global,2010s-present,"Growth of music festivals and communal experiences","Energetic, community-focused",From niche interest to significant cultural trend
Person_41,,"Generation Z",Vapers,InternalViewpoint,PositiveAttitude,"Casual, trendy clothing with vape accessories","Electronic, Pop","Participating in vape culture events, creating vape tricks","Personal freedom, relaxation, and social connection",Global,2010s-present,"Rise of vaping culture and its mainstream acceptance","Rebellious, health-conscious",From niche trend to broader lifestyle choice
Person_42,,"Generation Alpha",Superhero Fans,InternalViewpoint,PositiveAttitude,"Costumes and merchandise related to superheroes","Soundtracks from superhero films","Attending superhero-themed events, engaging in fan communities","Heroism, justice, and imagination",Global,2020s-present,"Influence of superhero media and pop culture","Enthusiastic, imaginative",From niche interest to major cultural influence
Person_43,,"Millennials",Health & Wellness Enthusiasts,InternalViewpoint,PositiveAttitude,"Athleisure, wellness-focused attire","Chillout, Yoga","Participating in wellness activities, attending health expos","Health consciousness, self-care, and mindfulness",Global,2010s-present,"Growth of wellness culture and its integration into mainstream lifestyle","Health-focused, self-improvement",From niche interest to widespread health movement
Person_44,,"Generation Z",Bookstagrammers,InternalViewpoint,PositiveAttitude,"Casual, stylish clothing with a focus on book-related accessories","Varied, often instrumental","Sharing book reviews, participating in reading challenges","Intellectualism, creativity, and community engagement",Global,2020s-present,"Rise of book-related social media culture","Literary, socially engaged",From niche hobby to influential online trend
Person_45,,"Generation Alpha",Pet Influencers,InternalViewpoint,PositiveAttitude,"Casual, cute clothing often with pet-themed accessories","Varied, often upbeat","Creating and sharing pet-related content on social media","Companionship, pet care, and online engagement",Global,2020s-present,"Growth of pet content on social media and its influence","Charming, engaging",From niche trend to mainstream social media phenomenon
Person_46,,"Generation X",Minimalist Travelers,InternalViewpoint,PositiveAttitude,"Lightweight, versatile clothing","Ambient, Travel-inspired","Exploring new destinations with a focus on minimalist packing","Simplicity, adventure, and cultural exploration",Global,2010s-present,"Influence of minimalist lifestyle and travel trends","Adventurous, resourceful",From niche interest to broader travel trend
Person_47,,"Generation Z",Social Media Influencers,InternalViewpoint,PositiveAttitude,"Trendy and visually appealing clothing","Pop, Viral Hits","Creating and sharing content on platforms like Instagram and TikTok","Creativity, influence, and online engagement",Global,2020s-present,"Impact of social media on lifestyle and culture","Trend-setting, influential",From emerging trend to dominant cultural force
Person_48,,"Millennials",Digital Artists,InternalViewpoint,PositiveAttitude,"Casual, artistic clothing often with unique patterns","Electronic, Experimental","Creating and sharing digital art on social media platforms","Creativity, innovation, and self-expression",Global,2010s-present,"Rise of digital art and its integration into mainstream media","Artistic, tech-savvy",From niche art form to influential creative field
Person_49,,"Generation Alpha",Vloggers,InternalViewpoint,PositiveAttitude,"Casual, comfortable clothing","Varied, often upbeat","Creating and sharing video blogs on platforms like YouTube","Personal storytelling, creativity, and online presence",Global,2020s-present,"Growth of vlogging culture and its influence on media","Engaging, relatable",From niche content creation to mainstream media presence
Person_50,,"Generation Z",Augmented Reality (AR) Enthusiasts,InternalViewpoint,PositiveAttitude,"Tech-savvy attire with AR gear","Electronic, Synthwave","Engaging with AR experiences and technology","Innovation, technology, and immersive experiences",Global,2020s-present,"Advances in AR technology and its applications","Innovative, tech-focused",From niche technology interest to broader technological trend
,Person_51,Baby Boomers,ExternalViewpoint,PositiveAttitude,Emo,"Dark, Skinny Jeans","Emo, Pop-Punk, Melodic Hardcore","Alt-music events, Attending concerts",Emotional expression,USA,1990s-2000s,"Music and Participantal experiences","Melancholic, introverted",Evolving from niche to influential in alternative music
Person_12,,Generation Z,InternalViewpoint,NegativeAttitude,Emo,"Dark, Skinny Jeans","Emo, Pop-Punk, Melodic Hardcore","Alt-music events, Attending concerts",Emotional expression,USA,1990s-2000s,"Personal reasons","Melancholic, introverted",Evolving from esteemed to despised
